"eventType"; "eventType_subCategory"; "description"; "creation_date"; "valid_until"; "link"; "lng"; "lat"
event; market; Am Kaufhof Ostbahnhof, Friedrichshain; 2016-01-13 08:00:00+00:00; 2016-01-13 17:00:00+00:00;;13.454574;52.515919;
event; market; Am Kaufhof Ostbahnhof, Friedrichshain; 2016-01-14 08:00:00+00:00; 2016-01-14 17:00:00+00:00;;13.454574;52.515919;
event; market; Am Kaufhof Ostbahnhof, Friedrichshain; 2016-01-15 08:00:00+00:00; 2016-01-15 17:00:00+00:00;;13.454574;52.515919;
event; market; Am Kaufhof Ostbahnhof, Friedrichshain; 2016-01-16 08:00:00+00:00; 2016-01-16 15:00:00+00:00;;13.454574;52.515919;
event; market; Schoenleinstrasse am Hohenstaufenplatz, Kreuzberg; 2016-01-12 10:00:00+00:00; 2016-01-12 18:00:00+00:00;;13.3917987;52.4986049;
event; market; Schoenleinstrasse am Hohenstaufenplatz, Kreuzberg; 2016-01-16 09:00:00+00:00; 2016-01-16 13:00:00+00:00;;13.3917987;52.4986049;
event; market; Anton-Saefkow-Platz, Fennpfuhl; 2016-01-12 07:00:00+00:00; 2016-01-12 17:00:00+00:00;;13.4705638;52.5296519;
event; market; Anton-Saefkow-Platz, Fennpfuhl; 2016-01-13 07:00:00+00:00; 2016-01-13 17:00:00+00:00;;13.4705638;52.5296519;
event; market; Anton-Saefkow-Platz, Fennpfuhl; 2016-01-14 07:00:00+00:00; 2016-01-14 17:00:00+00:00;;13.4705638;52.5296519;
event; market; Baerenschaufenster am Tierpark, Friedrichsfelde; 2016-01-11 07:00:00+00:00; 2016-01-11 17:00:00+00:00;;13.5213932;52.5020065;
event; market; Baerenschaufenster am Tierpark, Friedrichsfelde; 2016-01-14 07:00:00+00:00; 2016-01-14 17:00:00+00:00;;13.5213932;52.5020065;
event; market; Baerenschaufenster am Tierpark, Friedrichsfelde; 2016-01-15 07:00:00+00:00; 2016-01-15 17:00:00+00:00;;13.5213932;52.5020065;
event; market; Roedernplatz Herzbergstrasse/Weissenseer Weg, Fennpfuhl; 2016-01-12 07:00:00+00:00; 2016-01-12 16:00:00+00:00;;13.4754342;52.5336406;
event; market; Roedernplatz Herzbergstrasse/Weissenseer Weg, Fennpfuhl; 2016-01-15 07:00:00+00:00; 2016-01-15 16:00:00+00:00;;13.4754342;52.5336406;
event; market; Frankfurter Allee 172 auf dem Gelaende der HoWoGe, Lichtenberg; 2016-01-13 09:00:00+00:00; 2016-01-13 16:00:00+00:00;;13.4998575;52.5335904;
event; market; Karlshorst / Ehrenfelsstrasse, Karlshorst; 2016-01-12 08:00:00+00:00; 2016-01-12 16:00:00+00:00;;13.5310451;52.4802799;
event; market; Karlshorst / Ehrenfelsstrasse, Karlshorst; 2016-01-15 08:00:00+00:00; 2016-01-15 16:00:00+00:00;;13.5310451;52.4802799;
event; market; Baerenschaufenster am Tierpark, Friedrichsfelde; 2016-01-11 07:00:00+00:00; 2016-01-11 17:00:00+00:00;;13.5213932;52.5020065;
event; market; Baerenschaufenster am Tierpark, Friedrichsfelde; 2016-01-14 07:00:00+00:00; 2016-01-14 17:00:00+00:00;;13.5213932;52.5020065;
event; market; Baerenschaufenster am Tierpark, Friedrichsfelde; 2016-01-15 07:00:00+00:00; 2016-01-15 17:00:00+00:00;;13.5213932;52.5020065;
event; market; Friedrichsfelde Ost / Seddiner Strasse, Friedrichsfelde; 2016-01-11 07:00:00+00:00; 2016-01-11 17:00:00+00:00;;13.52033;52.50188;
event; market; Friedrichsfelde Ost / Seddiner Strasse, Friedrichsfelde; 2016-01-12 07:00:00+00:00; 2016-01-12 17:00:00+00:00;;13.52033;52.50188;
event; market; Friedrichsfelde Ost / Seddiner Strasse, Friedrichsfelde; 2016-01-13 07:00:00+00:00; 2016-01-13 17:00:00+00:00;;13.52033;52.50188;
event; market; Friedrichsfelde Ost / Seddiner Strasse, Friedrichsfelde; 2016-01-14 07:00:00+00:00; 2016-01-14 17:00:00+00:00;;13.52033;52.50188;
event; market; Friedrichsfelde Ost / Seddiner Strasse, Friedrichsfelde; 2016-01-15 07:00:00+00:00; 2016-01-15 17:00:00+00:00;;13.52033;52.50188;
event; market; Massower Strasse / Robert-Uhring-Strasse, Friedrichsfelde; 2016-01-11 07:00:00+00:00; 2016-01-11 17:00:00+00:00;;13.52033;52.50188;
event; market; Massower Strasse / Robert-Uhring-Strasse, Friedrichsfelde; 2016-01-12 07:00:00+00:00; 2016-01-12 17:00:00+00:00;;13.52033;52.50188;
event; market; Massower Strasse / Robert-Uhring-Strasse, Friedrichsfelde; 2016-01-13 07:00:00+00:00; 2016-01-13 17:00:00+00:00;;13.52033;52.50188;
event; market; Massower Strasse / Robert-Uhring-Strasse, Friedrichsfelde; 2016-01-14 07:00:00+00:00; 2016-01-14 17:00:00+00:00;;13.52033;52.50188;
event; market; Massower Strasse / Robert-Uhring-Strasse, Friedrichsfelde; 2016-01-16 07:00:00+00:00; 2016-01-16 13:00:00+00:00;;13.52033;52.50188;
event; market; Zingster Strasse zwischen Ribnitzer und Dierhagener Strasse, Neu-Hohenschoenhausen; 2016-01-16 07:00:00+00:00; 2016-01-16 13:00:00+00:00;;13.4969298;52.5673024;
event; market; Am S-Bahnhof Wartenberg Egon-Erwin-Kisch-Strasse, Alt-Hohenschoenhausen; 2016-01-12 10:00:00+00:00; 2016-01-12 17:00:00+00:00;;13.5080239;52.5709386;
event; market; Am S-Bahnhof Wartenberg Egon-Erwin-Kisch-Strasse, Alt-Hohenschoenhausen; 2016-01-13 10:00:00+00:00; 2016-01-13 17:00:00+00:00;;13.5080239;52.5709386;
event; market; Am S-Bahnhof Wartenberg Egon-Erwin-Kisch-Strasse, Alt-Hohenschoenhausen; 2016-01-14 10:00:00+00:00; 2016-01-14 17:00:00+00:00;;13.5080239;52.5709386;
event; market; Otto-Schmirgal-Str. 1 - 7, Friedrichsfelde; 2016-01-16 07:00:00+00:00; 2016-01-16 13:00:00+00:00;;13.5207458;52.4971077;
event; market; Am Storchenhof Hauptstrasse, Alt-Hohenschoenhausen; 2016-01-12 08:00:00+00:00; 2016-01-12 16:00:00+00:00;;13.5062286;52.548651;
event; market; Am Storchenhof Hauptstrasse, Alt-Hohenschoenhausen; 2016-01-14 08:00:00+00:00; 2016-01-14 16:00:00+00:00;;13.5062286;52.548651;
event; market; EKZ Muehlengrund Rotkamp 2-6, Neu-Hohenschoenhausen; 2016-01-13 09:00:00+00:00; 2016-01-13 17:00:00+00:00;;13.5089055;52.5608304;
event; market; EKZ Muehlengrund Rotkamp 2-6, Neu-Hohenschoenhausen; 2016-01-15 09:00:00+00:00; 2016-01-15 17:00:00+00:00;;13.5089055;52.5608304;
event; market; Prerower Platz 1, Hohenschoenhausen; 2016-01-13 08:00:00+00:00; 2016-01-13 17:00:00+00:00;;13.5056793;52.5641484;
event; market; Hoenower Strasse 76-80, Mahlsdorf; 2016-01-11 07:00:00+00:00; 2016-01-11 17:00:00+00:00;;13.6131328;52.5115809;
event; market; Hoenower Strasse 76-80, Mahlsdorf; 2016-01-12 07:00:00+00:00; 2016-01-12 17:00:00+00:00;;13.6131328;52.5115809;
event; market; Hoenower Strasse 76-80, Mahlsdorf; 2016-01-13 07:00:00+00:00; 2016-01-13 17:00:00+00:00;;13.6131328;52.5115809;
event; market; Hoenower Strasse 76-80, Mahlsdorf; 2016-01-14 07:00:00+00:00; 2016-01-14 17:00:00+00:00;;13.6131328;52.5115809;
event; market; Hoenower Strasse 76-80, Mahlsdorf; 2016-01-15 07:00:00+00:00; 2016-01-15 17:00:00+00:00;;13.6131328;52.5115809;
event; market; Hoenower Strasse 76-80, Mahlsdorf; 2016-01-16 07:00:00+00:00; 2016-01-16 17:00:00+00:00;;13.6131328;52.5115809;
event; market; Wochenmarkt Helle Mitte, Hellersdorf; 2016-01-13 09:00:00+00:00; 2016-01-13 17:00:00+00:00;;13.6049725;52.536107;
event; market; Wochenmarkt Helle Mitte, Hellersdorf; 2016-01-15 09:00:00+00:00; 2016-01-15 17:00:00+00:00;;13.6049725;52.536107;
event; market; Roedernstrasse / Ecke Hultschiner Damm, Mahlsdorf; 2016-01-14 09:00:00+00:00; 2016-01-14 17:00:00+00:00;;13.6014936;52.4825451;
event; market; Helene-Weigel-Platz, Marzahn; 2016-01-11 08:00:00+00:00; 2016-01-11 16:00:00+00:00;;13.540044;52.5272153;
event; market; Helene-Weigel-Platz, Marzahn; 2016-01-12 08:00:00+00:00; 2016-01-12 16:00:00+00:00;;13.540044;52.5272153;
event; market; Helene-Weigel-Platz, Marzahn; 2016-01-13 08:00:00+00:00; 2016-01-13 16:00:00+00:00;;13.540044;52.5272153;
event; market; Helene-Weigel-Platz, Marzahn; 2016-01-14 08:00:00+00:00; 2016-01-14 16:00:00+00:00;;13.540044;52.5272153;
event; market; Helene-Weigel-Platz, Marzahn; 2016-01-15 08:00:00+00:00; 2016-01-15 16:00:00+00:00;;13.540044;52.5272153;
event; market; Helene-Weigel-Platz, Marzahn; 2016-01-16 08:00:00+00:00; 2016-01-16 12:00:00+00:00;;13.540044;52.5272153;
event; market; Marzahner Promenade 30 - 33, Marzahn; 2016-01-11 08:00:00+00:00; 2016-01-11 17:00:00+00:00;;13.54881;52.54421;
event; market; Marzahner Promenade 30 - 33, Marzahn; 2016-01-13 08:00:00+00:00; 2016-01-13 17:00:00+00:00;;13.54881;52.54421;
event; market; Marzahner Promenade 30 - 33, Marzahn; 2016-01-15 08:00:00+00:00; 2016-01-15 17:00:00+00:00;;13.54881;52.54421;
event; market; Cecilienplatz Ernst-Bloch-Strasse, Hellersdorf; 2016-01-13 08:00:00+00:00; 2016-01-13 17:00:00+00:00;;13.5906492;52.5203076;
event; market; Cecilienplatz Ernst-Bloch-Strasse, Hellersdorf; 2016-01-15 08:00:00+00:00; 2016-01-15 17:00:00+00:00;;13.5906492;52.5203076;
event; market; Barnimplatz, Marzahn; 2016-01-12 07:00:00+00:00; 2016-01-12 15:00:00+00:00;;13.5730628;52.5672515;
event; market; Arkonaplatz, Mitte; 2016-01-15 11:00:00+00:00; 2016-01-15 18:00:00+00:00;;13.4017768;52.5375068;
event; market; Schillingstrasse / Singerstrasse, Mitte; 2016-01-12 08:00:00+00:00; 2016-01-12 16:00:00+00:00;;13.4235235;52.5167078;
event; market; Schillingstrasse / Singerstrasse, Mitte; 2016-01-14 08:00:00+00:00; 2016-01-14 16:00:00+00:00;;13.4235235;52.5167078;
event; market; Schillingstrasse / Singerstrasse, Mitte; 2016-01-15 08:00:00+00:00; 2016-01-15 16:00:00+00:00;;13.4235235;52.5167078;
event; market; Spittelmarkt, Mitte; 2016-01-11 09:00:00+00:00; 2016-01-11 15:00:00+00:00;;13.4022041;52.5117278;
event; market; Spittelmarkt, Mitte; 2016-01-13 09:00:00+00:00; 2016-01-13 15:00:00+00:00;;13.4022041;52.5117278;
event; market; Spittelmarkt, Mitte; 2016-01-15 09:00:00+00:00; 2016-01-15 15:00:00+00:00;;13.4022041;52.5117278;
event; market; Rathaus Wedding Genter / Ostender Strasse, Wedding; 2016-01-13 06:00:00+00:00; 2016-01-13 15:00:00+00:00;;13.3514965;52.5459546;
event; market; Rathaus Wedding Genter / Ostender Strasse, Wedding; 2016-01-16 06:00:00+00:00; 2016-01-16 15:00:00+00:00;;13.3514965;52.5459546;
event; market; Leopoldplatz, Wedding; 2016-01-12 09:00:00+00:00; 2016-01-12 17:00:00+00:00;;13.358831;52.5461888;
event; market; Leopoldplatz, Wedding; 2016-01-15 09:00:00+00:00; 2016-01-15 17:00:00+00:00;;13.358831;52.5461888;
event; market; Iranische / Reinickendorfer Strasse, Gesundbrunnen; 2016-01-12 07:30:00+00:00; 2016-01-12 12:00:00+00:00;;13.3692163;52.5481543;
event; market; Iranische / Reinickendorfer Strasse, Gesundbrunnen; 2016-01-15 07:30:00+00:00; 2016-01-15 12:00:00+00:00;;13.3692163;52.5481543;
